date,store_id,product_id,units_sold,net_sales,transaction_count,load_timestamp
2025-01-01,3,4,2,3638,1,2026-02-05 15:00:51.398440
2025-01-01,3,5,5,10580,2,2026-02-05 15:00:51.399463
2025-01-01,3,6,5,13065,2,2026-02-05 15:00:51.399463
2025-01-01,3,7,6,12648,3,2026-02-05 15:00:51.400438
2025-01-01,3,8,5,4260,5,2026-02-05 15:00:51.400438
2025-01-01,3,9,3,12045,3,2026-02-05 15:00:51.401438
2025-01-01,3,10,3,2013,3,2026-02-05 15:00:51.401438
2025-01-01,3,11,8,25896,8,2026-02-05 15:00:51.402449
2025-01-01,3,12,7,16212,7,2026-02-05 15:00:51.402449
2025-01-01,3,13,5,20710,1,2026-02-05 15:00:51.403440
2025-01-01,3,14,9,3582,9,2026-02-05 15:00:51.403440
2025-01-01,3,15,6,28782,3,2026-02-05 15:00:51.404444
2025-01-01,3,16,4,3024,1,2026-02-05 15:00:51.405437
2025-01-01,3,17,4,4772,4,2026-02-05 15:00:51.405437
2025-01-01,3,18,5,250,5,2026-02-05 15:00:51.405437
2025-01-01,3,19,3,6552,1,2026-02-05 15:00:51.406437
2025-01-01,3,20,7,16464,2,2026-02-05 15:00:51.406437
2025-01-01,3,21,8,11888,2,2026-02-05 15:00:51.407440
2025-01-01,3,22,4,716,2,2026-02-05 15:00:51.407440
2025-01-01,3,23,3,8247,1,2026-02-05 15:00:51.408438
2025-01-01,3,24,2,9884,2,2026-02-05 15:00:51.408438
2025-01-01,3,25,9,9621,9,2026-02-05 15:00:51.409463
2025-01-01,3,26,4,4704,1,2026-02-05 15:00:51.409463
2025-01-01,3,27,5,1800,2,2026-02-05 15:00:51.410459
2025-01-01,3,28,6,23088,3,2026-02-05 15:00:51.411440
2025-01-01,3,29,9,26316,3,2026-02-05 15:00:51.411440
2025-01-01,3,30,6,4254,2,2026-02-05 15:00:51.412440
2025-01-01,3,31,3,7140,1,2026-02-05 15:00:51.413441
2025-01-01,3,32,5,8465,5,2026-02-05 15:00:51.414441
2025-01-01,3,33,9,20556,3,2026-02-05 15:00:51.415441
2025-01-01,3,34,6,14604,3,2026-02-05 15:00:51.415441
2025-01-01,3,35,7,8701,3,2026-02-05 15:00:51.416441
2025-01-01,3,36,4,18272,4,2026-02-05 15:00:51.416441
2025-01-01,3,37,5,8870,2,2026-02-05 15:00:51.417440
2025-01-01,3,38,48,123744,16,2026-02-05 15:00:51.418438
2025-01-01,3,39,4,2528,1,2026-02-05 15:00:51.418438
2025-01-01,3,40,8,16568,2,2026-02-05 15:00:51.419438
2025-01-01,3,41,7,17633,3,2026-02-05 15:00:51.419438
2025-01-01,3,42,6,20280,2,2026-02-05 15:00:51.420439
2025-01-01,3,43,4,13828,4,2026-02-05 15:00:51.420439
2025-01-01,3,44,2,4284,1,2026-02-05 15:00:51.421436
2025-01-01,3,45,5,3375,1,2026-02-05 15:00:51.422613
2025-01-01,3,46,5,20675,1,2026-02-05 15:00:51.422613
2025-01-01,3,46,5,20675,1,2026-02-05 15:00:51.422613
2025-01-01,3,47,5,11845,1,2026-02-05 15:00:51.423840
2025-01-01,3,48,3,1695,3,2026-02-05 15:00:51.425266
2025-01-01,3,49,5,22140,5,2026-02-05 15:00:51.425266
2025-01-01,3,50,8,33016,4,2026-02-05 15:00:51.426306
2025-01-01,4,1,6,26280,3,2026-02-05 15:00:51.426306
2025-01-01,4,2,7,32781,7,2026-02-05 15:00:51.427333
2025-01-01,4,3,9,41724,9,2026-02-05 15:00:51.428333
2025-01-01,4,4,4,7276,4,2026-02-05 15:00:51.428333
2025-01-01,4,5,3,6348,3,2026-02-05 15:00:51.429837
2025-01-01,4,6,6,15678,6,2026-02-05 15:00:51.431023
2025-01-01,4,7,8,16864,8,2026-02-05 15:00:51.432024
2025-01-01,4,8,1,852,1,2026-02-05 15:00:51.433023
2025-01-01,4,9,2,8030,2,2026-02-05 15:00:51.433023
2025-01-01,4,10,8,5368,2,2026-02-05 15:00:51.434028
2025-01-01,4,11,0,0,0,2026-02-05 15:00:51.434028
2025-01-01,4,12,4,9264,1,2026-02-05 15:00:51.435479
2025-01-01,4,13,3,12426,3,2026-02-05 15:00:51.435479
2025-01-01,4,14,5,1990,5,2026-02-05 15:00:51.435479
2025-01-01,4,15,6,28782,6,2026-02-05 15:00:51.436978
2025-01-01,4,16,4,3024,1,2026-02-05 15:00:51.436978
2025-01-01,4,17,4,4772,2,2026-02-05 15:00:51.437981
2025-01-01,4,18,3,150,3,2026-02-05 15:00:51.438982
2025-01-01,4,19,5,10920,2,2026-02-05 15:00:51.438982
2025-01-01,4,20,6,14112,3,2026-02-05 15:00:51.439993
2025-01-01,4,21,6,8916,2,2026-02-05 15:00:51.439993
2025-01-01,4,22,6,1074,6,2026-02-05 15:00:51.441131
2025-01-01,4,23,6,16494,2,2026-02-05 15:00:51.441131
2025-01-01,4,24,6,29652,2,2026-02-05 15:00:51.441131
2025-01-01,4,25,1,1069,1,2026-02-05 15:00:51.442618
2025-01-01,4,26,6,7056,2,2026-02-05 15:00:51.443616
2025-01-01,4,27,7,2520,3,2026-02-05 15:00:51.444618
2025-01-01,4,28,5,19240,1,2026-02-05 15:00:51.445620
2025-01-01,4,29,13,38012,6,2026-02-05 15:00:51.446622
2025-01-01,4,30,4,2836,1,2026-02-05 15:00:51.447616
2025-01-01,4,31,5,11900,2,2026-02-05 15:00:51.447616
2025-01-01,4,32,2,3386,1,2026-02-05 15:00:51.449008
2025-01-01,4,33,10,22840,5,2026-02-05 15:00:51.449008
2025-01-01,4,34,5,12170,1,2026-02-05 15:00:51.450110
2025-01-01,4,35,5,6215,2,2026-02-05 15:00:51.450110
2025-01-01,4,36,8,36544,8,2026-02-05 15:00:51.451506
2025-01-01,4,37,5,8870,2,2026-02-05 15:00:51.451506
2025-01-01,4,38,5,12890,1,2026-02-05 15:00:51.452967
2025-01-01,4,39,6,3792,3,2026-02-05 15:00:51.452967
2025-01-01,4,40,7,14497,7,2026-02-05 15:00:51.454243
2025-01-01,4,41,4,10076,2,2026-02-05 15:00:51.454243
2025-01-01,4,42,5,16900,5,2026-02-05 15:00:51.454243
2025-01-01,4,43,10,34570,10,2026-02-05 15:00:51.455508
2025-01-01,4,44,5,10710,5,2026-02-05 15:00:51.456723
2025-01-01,4,45,6,4050,3,2026-02-05 15:00:51.456723
2025-01-01,4,46,7,28945,3,2026-02-05 15:00:51.458058
2025-01-01,4,47,5,11845,5,2026-02-05 15:00:51.459057
2025-01-01,4,48,1,565,1,2026-02-05 15:00:51.459057
2025-01-01,4,49,3,13284,1,2026-02-05 15:00:51.459057
2025-01-01,4,50,5,20635,1,2026-02-05 15:00:51.460360
2025-01-01,5,1,21,91980,10,2026-02-05 15:00:51.461363
2025-01-01,5,2,3,14049,1,2026-02-05 15:00:51.462688
2025-01-01,5,3,2,9272,1,2026-02-05 15:00:51.462688
2025-01-01,5,4,4,7276,2,2026-02-05 15:00:51.464060
2025-01-01,5,5,2,4232,1,2026-02-05 15:00:51.464060
2025-01-01,5,6,4,10452,4,2026-02-05 15:00:51.465342
2025-01-01,5,7,3,6324,3,2026-02-05 15:00:51.465342
2025-01-01,5,8,4,3408,1,2026-02-05 15:00:51.465342
2025-01-01,5,9,5,20075,1,2026-02-05 15:00:51.466677
2025-01-01,5,10,11,7381,5,2026-02-05 15:00:51.466677
2025-01-01,5,11,7,22659,2,2026-02-05 15:00:51.467779
2025-01-01,5,12,6,13896,2,2026-02-05 15:00:51.468776
2025-01-01,5,13,1,4142,1,2026-02-05 15:00:51.468776
2025-01-01,5,14,1,398,1,2026-02-05 15:00:51.468776
2025-01-01,5,15,5,23985,2,2026-02-05 15:00:51.470167
2025-01-01,5,16,7,5292,7,2026-02-05 15:00:51.471167
2025-01-01,5,17,3,3579,3,2026-02-05 15:00:51.471167
2025-01-01,5,18,2,100,2,2026-02-05 15:00:51.472573
2025-01-01,5,19,4,8736,1,2026-02-05 15:00:51.472573
2025-01-01,5,20,4,9408,4,2026-02-05 15:00:51.473699
2025-01-01,5,21,8,11888,8,2026-02-05 15:00:51.473699
2025-01-01,5,22,1,179,1,2026-02-05 15:00:51.475074
2025-01-01,5,23,6,16494,2,2026-02-05 15:00:51.476073
2025-01-01,5,24,9,44478,9,2026-02-05 15:00:51.477074
2025-01-01,5,25,7,7483,7,2026-02-05 15:00:51.477074
2025-01-01,5,26,2,2352,2,2026-02-05 15:00:51.478123
2025-01-01,5,27,5,1800,2,2026-02-05 15:00:51.479255
2025-01-01,5,28,8,30784,2,2026-02-05 15:00:51.479255
2025-01-01,5,29,3,8772,1,2026-02-05 15:00:51.479255
2025-01-01,5,30,4,2836,2,2026-02-05 15:00:51.480290
2025-01-01,5,31,3,7140,1,2026-02-05 15:00:51.480290
2025-01-01,5,32,6,10158,3,2026-02-05 15:00:51.481740
2025-01-01,5,33,4,9136,1,2026-02-05 15:00:51.481740
2025-01-01,5,34,0,0,0,2026-02-05 15:00:51.482739
2025-01-01,5,35,5,6215,1,2026-02-05 15:00:51.482739
2025-01-01,5,36,8,36544,2,2026-02-05 15:00:51.484204
2025-01-01,5,37,3,5322,3,2026-02-05 15:00:51.484204
2025-01-01,5,38,9,23202,3,2026-02-05 15:00:51.484204
2025-01-01,5,39,3,1896,3,2026-02-05 15:00:51.485596
2025-01-01,5,40,3,6213,1,2026-02-05 15:00:51.485596
2025-01-01,5,41,5,12595,2,2026-02-05 15:00:51.486593
2025-01-01,5,42,6,20280,6,2026-02-05 15:00:51.487590
2025-01-01,5,43,4,13828,1,2026-02-05 15:00:51.487590
2025-01-01,5,44,4,8568,2,2026-02-05 15:00:51.487590
2025-01-01,5,45,2,1350,1,2026-02-05 15:00:51.488708
2025-01-01,5,46,7,28945,2,2026-02-05 15:00:51.489220
2025-01-01,5,47,2,4738,2,2026-02-05 15:00:51.490236
2025-01-01,5,48,4,2260,2,2026-02-05 15:00:51.491232
2025-01-01,5,49,5,22140,1,2026-02-05 15:00:51.491232
2025-01-01,5,50,6,24762,3,2026-02-05 15:00:51.491232
2025-01-01,6,1,4,17520,1,2026-02-05 15:00:51.492704
2025-01-01,6,2,2,9366,1,2026-02-05 15:00:51.493836
2025-01-01,6,3,5,23180,2,2026-02-05 15:00:51.493836
2025-01-01,6,4,2,3638,1,2026-02-05 15:00:51.494839
2025-01-01,6,5,3,6348,1,2026-02-05 15:00:51.494839
2025-01-01,6,6,2,5226,1,2026-02-05 15:00:51.495839
2025-01-01,6,7,8,16864,4,2026-02-05 15:00:51.496840
2025-01-01,6,8,9,7668,3,2026-02-05 15:00:51.496840
2025-01-01,6,9,6,24090,2,2026-02-05 15:00:51.497838
2025-01-01,6,10,8,5368,4,2026-02-05 15:00:51.497838
2025-01-01,6,11,8,25896,8,2026-02-05 15:00:51.498838
2025-01-01,6,12,6,13896,3,2026-02-05 15:00:51.498838
2025-01-01,6,13,5,20710,5,2026-02-05 15:00:51.499840
2025-01-01,6,14,6,2388,2,2026-02-05 15:00:51.500840
2025-01-01,6,15,10,47970,10,2026-02-05 15:00:51.501835
2025-01-01,6,16,8,6048,8,2026-02-05 15:00:51.502961
2025-01-01,6,17,3,3579,1,2026-02-05 15:00:51.502961
2025-01-01,6,18,5,250,5,2026-02-05 15:00:51.503962
2025-01-01,6,19,7,15288,3,2026-02-05 15:00:51.504964
2025-01-01,6,20,4,9408,2,2026-02-05 15:00:51.505965
2025-01-01,6,21,5,7430,1,2026-02-05 15:00:51.506962
2025-01-01,6,22,5,895,2,2026-02-05 15:00:51.506962
2025-01-01,6,23,5,13745,5,2026-02-05 15:00:51.508239
2025-01-01,6,24,6,29652,3,2026-02-05 15:00:51.508239
2025-01-01,6,25,5,5345,2,2026-02-05 15:00:51.509343
2025-01-01,6,26,5,5880,1,2026-02-05 15:00:51.510343
2025-01-01,6,27,7,2520,2,2026-02-05 15:00:51.511346
2025-01-01,6,28,6,23088,2,2026-02-05 15:00:51.511346
2025-01-01,6,29,3,8772,1,2026-02-05 15:00:51.512345
2025-01-01,6,30,0,0,0,2026-02-05 15:00:51.513345
2025-01-01,6,31,7,16660,2,2026-02-05 15:00:51.514344
2025-01-01,6,32,2,3386,2,2026-02-05 15:00:51.514344
2025-01-01,6,33,4,9136,2,2026-02-05 15:00:51.515345
2025-01-01,6,34,5,12170,5,2026-02-05 15:00:51.516344
2025-01-01,6,35,4,4972,1,2026-02-05 15:00:51.516344
2025-01-01,6,36,1,4568,1,2026-02-05 15:00:51.517346
2025-01-01,6,37,2,3548,1,2026-02-05 15:00:51.518343
2025-01-01,6,38,2,5156,1,2026-02-05 15:00:51.519342
2025-01-01,6,39,4,2528,2,2026-02-05 15:00:51.519342
2025-01-01,6,40,7,14497,7,2026-02-05 15:00:51.520788
2025-01-01,6,41,5,12595,1,2026-02-05 15:00:51.520788
2025-01-01,6,42,7,23660,7,2026-02-05 15:00:51.520788
2025-01-01,6,43,3,10371,3,2026-02-05 15:00:51.522206
2025-01-01,6,44,3,6426,3,2026-02-05 15:00:51.523206
2025-01-01,6,45,4,2700,1,2026-02-05 15:00:51.523206
2025-01-01,6,46,4,16540,2,2026-02-05 15:00:51.524210
2025-01-01,6,47,1,2369,1,2026-02-05 15:00:51.524210
2025-01-01,6,48,2,1130,1,2026-02-05 15:00:51.525205
2025-01-01,6,49,6,26568,3,2026-02-05 15:00:51.526209
2025-01-01,6,50,4,16508,2,2026-02-05 15:00:51.526209
2025-01-01,7,1,11,48180,5,2026-02-05 15:00:51.527446
2025-01-01,7,2,3,14049,1,2026-02-05 15:00:51.527446
2025-01-01,7,3,2,9272,1,2026-02-05 15:00:51.527446
2025-01-01,7,4,5,9095,5,2026-02-05 15:00:51.528699
2025-01-01,7,5,4,8464,2,2026-02-05 15:00:51.529697
2025-01-01,7,6,8,20904,4,2026-02-05 15:00:51.529697
2025-01-01,7,7,4,8432,2,2026-02-05 15:00:51.530695
2025-01-01,7,8,11,9372,5,2026-02-05 15:00:51.530695
2025-01-01,7,9,4,16060,2,2026-02-05 15:00:51.530695
2025-01-01,7,10,8,5368,2,2026-02-05 15:00:51.532059
2025-01-01,7,11,6,19422,2,2026-02-05 15:00:51.532059
2025-01-01,7,12,6,13896,2,2026-02-05 15:00:51.533464
2025-01-01,7,13,7,28994,7,2026-02-05 15:00:51.533464
2025-01-01,7,14,6,2388,3,2026-02-05 15:00:51.534466
2025-01-01,7,15,5,23985,1,2026-02-05 15:00:51.535594
2025-01-01,7,16,3,2268,1,2026-02-05 15:00:51.535594
2025-01-01,7,17,4,4772,4,2026-02-05 15:00:51.536596
2025-01-01,7,17,4,4772,2,2026-02-05 15:00:51.536596
2025-01-01,7,18,3,150,3,2026-02-05 15:00:51.537842
2025-01-01,7,19,6,13104,3,2026-02-05 15:00:51.537842
2025-01-01,7,20,8,18816,8,2026-02-05 15:00:51.538914
2025-01-01,7,21,4,5944,1,2026-02-05 15:00:51.539914
2025-01-01,7,22,5,895,1,2026-02-05 15:00:51.539914
2025-01-01,7,23,2,5498,1,2026-02-05 15:00:51.540915
2025-01-01,7,24,6,29652,2,2026-02-05 15:00:51.541914
2025-01-01,7,25,5,5345,1,2026-02-05 15:00:51.541914
2025-01-01,7,26,7,8232,7,2026-02-05 15:00:51.542915
2025-01-01,7,27,3,1080,1,2026-02-05 15:00:51.542915
2025-01-01,7,28,4,15392,4,2026-02-05 15:00:51.543915
2025-01-01,7,29,3,8772,3,2026-02-05 15:00:51.544915
2025-01-01,7,30,3,2127,1,2026-02-05 15:00:51.544915
2025-01-01,7,31,2,4760,2,2026-02-05 15:00:51.545915
2025-01-01,7,32,4,6772,1,2026-02-05 15:00:51.545915
2025-01-01,7,33,6,13704,3,2026-02-05 15:00:51.546915
2025-01-01,7,34,4,9736,1,2026-02-05 15:00:51.546915
2025-01-01,7,35,5,6215,1,2026-02-05 15:00:51.547915
2025-01-01,7,36,7,31976,3,2026-02-05 15:00:51.548914
2025-01-01,7,37,7,12418,2,2026-02-05 15:00:51.548914
2025-01-01,7,38,6,15468,3,2026-02-05 15:00:51.549915
2025-01-01,7,39,6,3792,2,2026-02-05 15:00:51.549915
2025-01-01,7,40,6,12426,3,2026-02-05 15:00:51.551914
2025-01-01,7,41,4,10076,1,2026-02-05 15:00:51.551914
2025-01-01,7,42,5,16900,5,2026-02-05 15:00:51.553095
2025-01-01,7,44,3,6426,1,2026-02-05 15:00:51.554097
2025-01-01,7,45,6,4050,2,2026-02-05 15:00:51.555363
2025-01-01,7,46,6,24810,6,2026-02-05 15:00:51.555363
2025-01-01,7,47,6,14214,3,2026-02-05 15:00:51.556737
2025-01-01,7,48,3,1695,3,2026-02-05 15:00:51.556737
2025-01-01,7,49,9,39852,9,2026-02-05 15:00:51.558201
2025-01-01,7,50,6,24762,6,2026-02-05 15:00:51.558201
2025-01-01,8,1,8,35040,8,2026-02-05 15:00:51.559203
2025-01-01,8,2,5,23415,2,2026-02-05 15:00:51.559203
2025-01-01,8,3,1,4636,1,2026-02-05 15:00:51.559203
2025-01-01,8,4,2,3638,2,2026-02-05 15:00:51.560715
2025-01-01,8,5,8,16928,2,2026-02-05 15:00:51.560715
2025-01-01,8,6,4,10452,2,2026-02-05 15:00:51.561918
2025-01-01,8,7,4,8432,4,2026-02-05 15:00:51.561918
2025-01-01,8,8,5,4260,1,2026-02-05 15:00:51.562913
2025-01-01,8,9,5,20075,2,2026-02-05 15:00:51.562913
2025-01-01,8,10,8,5368,4,2026-02-05 15:00:51.563982
2025-01-01,8,11,4,12948,1,2026-02-05 15:00:51.564980
2025-01-01,8,12,4,9264,4,2026-02-05 15:00:51.564980
2025-01-01,8,13,10,41420,3,2026-02-05 15:00:51.566077
2025-01-01,8,14,4,1592,4,2026-02-05 15:00:51.566077
2025-01-01,8,15,4,19188,2,2026-02-05 15:00:51.567079
2025-01-01,8,16,3,2268,3,2026-02-05 15:00:51.567079
2025-01-01,8,18,3,150,1,2026-02-05 15:00:51.568554
2025-01-01,8,19,4,8736,4,2026-02-05 15:00:51.569998
2025-01-01,8,20,3,7056,1,2026-02-05 15:00:51.570996
2025-01-01,8,21,7,10402,7,2026-02-05 15:00:51.570996
2025-01-01,8,22,6,1074,6,2026-02-05 15:00:51.571994
2025-01-01,8,23,7,19243,3,2026-02-05 15:00:51.572996
2025-01-01,8,24,2,9884,2,2026-02-05 15:00:51.572996
2025-01-01,8,25,3,3207,1,2026-02-05 15:00:51.573995
2025-01-01,8,26,2,2352,1,2026-02-05 15:00:51.573995
2025-01-01,8,27,4,1440,1,2026-02-05 15:00:51.574993
2025-01-01,8,28,3,11544,1,2026-02-05 15:00:51.574993
2025-01-01,8,29,7,20468,7,2026-02-05 15:00:51.575994
2025-01-01,8,30,4,2836,2,2026-02-05 15:00:51.576993
2025-01-01,8,31,8,19040,8,2026-02-05 15:00:51.576993
2025-01-01,8,32,5,8465,1,2026-02-05 15:00:51.577995
2025-01-01,8,33,3,6852,3,2026-02-05 15:00:51.577995
2025-01-01,8,34,0,0,0,2026-02-05 15:00:51.578995
2025-01-01,8,35,7,8701,3,2026-02-05 15:00:51.578995
2025-01-01,8,36,7,31976,7,2026-02-05 15:00:51.580388
2025-01-01,8,37,5,8870,1,2026-02-05 15:00:51.580388
2025-01-01,8,38,4,10312,2,2026-02-05 15:00:51.581776
2025-01-01,8,39,5,3160,5,2026-02-05 15:00:51.581776
2025-01-01,8,40,3,6213,3,2026-02-05 15:00:51.583165
2025-01-01,8,41,6,15114,2,2026-02-05 15:00:51.583165
2025-01-01,8,42,6,20280,6,2026-02-05 15:00:51.583165
2025-01-01,8,43,6,20742,3,2026-02-05 15:00:51.584418
2025-01-01,8,44,5,10710,5,2026-02-05 15:00:51.584418
2025-01-01,8,45,3,2025,3,2026-02-05 15:00:51.585415
2025-01-01,8,46,4,16540,1,2026-02-05 15:00:51.585415
2025-01-01,8,47,5,11845,1,2026-02-05 15:00:51.585415
2025-01-01,8,48,4,2260,2,2026-02-05 15:00:51.586413
2025-01-01,8,49,6,26568,3,2026-02-05 15:00:51.586413
2025-01-01,8,50,3,12381,3,2026-02-05 15:00:51.587433
2025-01-01,9,1,7,30660,3,2026-02-05 15:00:51.588427
2025-01-01,9,2,4,18732,4,2026-02-05 15:00:51.589427
2025-01-01,9,3,7,32452,3,2026-02-05 15:00:51.589427
2025-01-01,9,4,5,9095,1,2026-02-05 15:00:51.590427
2025-01-01,9,5,3,6348,1,2026-02-05 15:00:51.590427
2025-01-01,9,6,21,54873,10,2026-02-05 15:00:51.591430
2025-01-01,9,7,7,14756,2,2026-02-05 15:00:51.592429
2025-01-01,9,8,4,3408,4,2026-02-05 15:00:51.592429
2025-01-01,9,9,4,16060,4,2026-02-05 15:00:51.593429
